K,C
1.5571e-13,3.12537e+29
1.56308e-13,3.09555e+29
1.56909e-13,3.06601e+29
1.57512e-13,3.03676e+29
1.58117e-13,3.00778e+29
1.58725e-13,2.97908e+29
1.59334e-13,2.95066e+29
1.59947e-13,2.92251e+29
1.60561e-13,2.89462e+29
1.61178e-13,2.867e+29
1.61797e-13,2.83964e+29
1.62419e-13,2.81255e+29
1.63043e-13,2.78571e+29
1.6367e-13,2.75913e+29
1.64299e-13,2.73281e+29
1.6493e-13,2.70673e+29
1.65564e-13,2.68091e+29
1.662e-13,2.65533e+29
1.66838e-13,2.62999e+29
1.67479e-13,2.6049e+29
1.68123e-13,2.58004e+29
1.68769e-13,2.55542e+29
1.69417e-13,2.53104e+29
1.70068e-13,2.50689e+29
1.70722e-13,2.48297e+29
1.71378e-13,2.45928e+29
1.72036e-13,2.43581e+29
1.72697e-13,2.41257e+29
1.73361e-13,2.38955e+29
1.74027e-13,2.36675e+29
1.74695e-13,2.34417e+29
1.75367e-13,2.3218e+29
1.76041e-13,2.29965e+29
1.76717e-13,2.27771e+29
1.77396e-13,2.25597e+29
1.78078e-13,2.23445e+29
1.78762e-13,2.21313e+29
1.79449e-13,2.19201e+29
1.80138e-13,2.1711e+29
1.8083e-13,2.15038e+29
1.81525e-13,2.12986e+29
1.82223e-13,2.10954e+29
1.82923e-13,2.08941e+29
1.83626e-13,2.06948e+29
1.84331e-13,2.04973e+29
1.85039e-13,2.03017e+29
1.8575e-13,2.0108e+29
1.86464e-13,1.99162e+29
1.87181e-13,1.97261e+29
1.879e-13,1.95379e+29
1.88622e-13,1.93515e+29
1.89346e-13,1.91668e+29
1.90074e-13,1.8984e+29
1.90804e-13,1.88028e+29
1.91537e-13,1.86234e+29
1.92273e-13,1.84457e+29
1.93012e-13,1.82697e+29
1.93754e-13,1.80954e+29
1.94498e-13,1.79227e+29
1.95246e-13,1.77517e+29
1.95996e-13,1.75823e+29
1.96749e-13,1.74146e+29
1.97505e-13,1.72484e+29
1.98264e-13,1.70838e+29
1.99025e-13,1.69208e+29
1.9979e-13,1.67594e+29
2.00558e-13,1.65995e+29
2.01328e-13,1.64411e+29
2.02102e-13,1.62842e+29
2.02879e-13,1.61288e+29
2.03658e-13,1.59749e+29
2.04441e-13,1.58225e+29
2.05226e-13,1.56715e+29
2.06015e-13,1.5522e+29
2.06806e-13,1.53739e+29
2.07601e-13,1.52272e+29
2.08398e-13,1.50819e+29
2.09199e-13,1.4938e+29
2.10003e-13,1.47955e+29
2.1081e-13,1.46543e+29
2.1162e-13,1.45145e+29
2.12433e-13,1.4376e+29
2.13249e-13,1.42388e+29
2.14069e-13,1.4103e+29
2.14891e-13,1.39684e+29
2.15717e-13,1.38351e+29
2.16546e-13,1.37031e+29
2.17378e-13,1.35724e+29
2.18213e-13,1.34429e+29
2.19051e-13,1.33146e+29
2.19893e-13,1.31876e+29
2.20738e-13,1.30617e+29
2.21586e-13,1.29371e+29
2.22438e-13,1.28137e+29
2.23292e-13,1.26914e+29
2.2415e-13,1.25703e+29
2.25011e-13,1.24504e+29
2.25876e-13,1.23316e+29
2.26744e-13,1.22139e+29
2.27615e-13,1.20974e+29
2.2849e-13,1.19819e+29
2.29368e-13,1.18676e+29
2.30249e-13,1.17544e+29
2.31134e-13,1.16422e+29
2.32022e-13,1.15311e+29
2.32913e-13,1.14211e+29
2.33808e-13,1.13121e+29
2.34706e-13,1.12042e+29
2.35608e-13,1.10973e+29
2.36514e-13,1.09914e+29
2.37422e-13,1.08865e+29
2.38335e-13,1.07827e+29
2.3925e-13,1.06798e+29
2.4017e-13,1.05779e+29
2.41092e-13,1.04769e+29
2.42019e-13,1.0377e+29
2.42949e-13,1.0278e+29
2.43882e-13,1.01799e+29
2.44819e-13,1.00828e+29
2.4576e-13,9.98656e+28
2.46704e-13,9.89127e+28
2.47652e-13,9.79689e+28
2.48604e-13,9.70341e+28
2.49559e-13,9.61083e+28
2.50518e-13,9.51912e+28
2.5148e-13,9.4283e+28
2.52447e-13,9.33834e+28
2.53417e-13,9.24923e+28
2.5439e-13,9.16098e+28
2.55368e-13,9.07357e+28
2.56349e-13,8.98699e+28
2.57334e-13,8.90124e+28
2.58323e-13,8.81631e+28
2.59315e-13,8.73219e+28
2.60312e-13,8.64887e+28
2.61312e-13,8.56635e+28
2.62316e-13,8.48461e+28
2.63324e-13,8.40366e+28
2.64335e-13,8.32347e+28
2.65351e-13,8.24405e+28
2.66371e-13,8.16539e+28
2.67394e-13,8.08748e+28
2.68422e-13,8.01031e+28
2.69453e-13,7.93388e+28
2.70488e-13,7.85818e+28
2.71528e-13,7.7832e+28
2.72571e-13,7.70894e+28
2.73618e-13,7.63538e+28
2.7467e-13,7.56253e+28
2.75725e-13,7.49037e+28
2.76784e-13,7.4189e+28
2.77848e-13,7.34811e+28
2.78915e-13,7.278e+28
2.79987e-13,7.20856e+28
2.81063e-13,7.13978e+28
2.82143e-13,7.07165e+28
2.83227e-13,7.00418e+28
2.84315e-13,6.93735e+28
2.85408e-13,6.87115e+28
2.86504e-13,6.80559e+28
2.87605e-13,6.74066e+28
2.8871e-13,6.67634e+28
2.89819e-13,6.61264e+28
2.90933e-13,6.54954e+28
2.92051e-13,6.48705e+28
2.93173e-13,6.42515e+28
2.94299e-13,6.36385e+28
2.9543e-13,6.30312e+28
2.96565e-13,6.24298e+28
2.97705e-13,6.18341e+28
2.98849e-13,6.12442e+28
2.99997e-13,6.06598e+28
3.0115e-13,6.0081e+28
3.02307e-13,5.95077e+28
3.03468e-13,5.89399e+28
3.04634e-13,5.83776e+28
3.05805e-13,5.78205e+28
3.0698e-13,5.72688e+28
3.08159e-13,5.67224e+28
3.09343e-13,5.61812e+28
3.10532e-13,5.56451e+28
3.11725e-13,5.51142e+28
3.12923e-13,5.45883e+28
3.14125e-13,5.40675e+28
3.15332e-13,5.35516e+28
3.16544e-13,5.30406e+28
3.1776e-13,5.25345e+28
3.18981e-13,5.20333e+28
3.20207e-13,5.15368e+28
3.21437e-13,5.1045e+28
3.22672e-13,5.0558e+28
3.23912e-13,5.00756e+28
3.25156e-13,4.95978e+28
3.26406e-13,4.91245e+28
3.2766e-13,4.86558e+28
3.28919e-13,4.81916e+28
3.30183e-13,4.77317e+28
3.31451e-13,4.72763e+28
3.32725e-13,4.68252e+28
3.34003e-13,4.63784e+28
3.35287e-13,4.59359e+28
3.36575e-13,4.54976e+28
3.37868e-13,4.50635e+28
3.39166e-13,4.46335e+28
3.4047e-13,4.42076e+28
3.41778e-13,4.37858e+28
3.43091e-13,4.3368e+28
3.44409e-13,4.29542e+28
3.45733e-13,4.25444e+28
3.47061e-13,4.21384e+28
3.48395e-13,4.17364e+28
3.49733e-13,4.13382e+28
3.51077e-13,4.09437e+28
3.52426e-13,4.05531e+28
3.5378e-13,4.01661e+28
3.55139e-13,3.97829e+28
3.56504e-13,3.94033e+28
3.57874e-13,3.90273e+28
3.59249e-13,3.86549e+28
3.60629e-13,3.82861e+28
3.62015e-13,3.79208e+28
3.63406e-13,3.7559e+28
3.64802e-13,3.72006e+28
3.66204e-13,3.68456e+28
3.67611e-13,3.64941e+28
3.69023e-13,3.61459e+28
3.70441e-13,3.5801e+28
3.71865e-13,3.54594e+28
3.73293e-13,3.5121e+28
3.74728e-13,3.47859e+28
3.76168e-13,3.4454e+28
3.77613e-13,3.41253e+28
3.79064e-13,3.37997e+28
3.8052e-13,3.34772e+28
3.81982e-13,3.31577e+28
3.8345e-13,3.28414e+28
3.84923e-13,3.2528e+28
3.86402e-13,3.22176e+28
3.87887e-13,3.19102e+28
3.89377e-13,3.16058e+28
3.90874e-13,3.13042e+28
3.92375e-13,3.10055e+28
3.93883e-13,3.07097e+28
3.95397e-13,3.04166e+28
3.96916e-13,3.01264e+28
3.98441e-13,2.9839e+28
3.99972e-13,2.95542e+28
4.01509e-13,2.92723e+28
4.03051e-13,2.8993e+28
4.046e-13,2.87163e+28
4.06155e-13,2.84423e+28
4.07715e-13,2.81709e+28
4.09282e-13,2.79021e+28
4.10854e-13,2.76359e+28
4.12433e-13,2.73722e+28
4.14018e-13,2.7111e+28
4.15608e-13,2.68524e+28
4.17205e-13,2.65961e+28
4.18808e-13,2.63424e+28
4.20418e-13,2.6091e+28
4.22033e-13,2.58421e+28
4.23654e-13,2.55955e+28
4.25282e-13,2.53513e+28
4.26916e-13,2.51094e+28
4.28557e-13,2.48698e+28
4.30203e-13,2.46325e+28
4.31856e-13,2.43975e+28
4.33516e-13,2.41647e+28
4.35181e-13,2.39341e+28
4.36853e-13,2.37058e+28
4.38532e-13,2.34796e+28
4.40217e-13,2.32555e+28
4.41908e-13,2.30336e+28
4.43606e-13,2.28139e+28
4.45311e-13,2.25962e+28
4.47022e-13,2.23806e+28
4.48739e-13,2.2167e+28
4.50464e-13,2.19555e+28
4.52194e-13,2.1746e+28
4.53932e-13,2.15385e+28
4.55676e-13,2.1333e+28
4.57427e-13,2.11295e+28
4.59185e-13,2.09279e+28
4.60949e-13,2.07282e+28
4.6272e-13,2.05304e+28
4.64498e-13,2.03345e+28
4.66283e-13,2.01405e+28
4.68074e-13,1.99483e+28
4.69873e-13,1.9758e+28
4.71678e-13,1.95695e+28
4.7349e-13,1.93827e+28
4.7531e-13,1.91978e+28
4.77136e-13,1.90146e+28
4.78969e-13,1.88332e+28
4.8081e-13,1.86535e+28
4.82657e-13,1.84755e+28
4.84512e-13,1.82992e+28
4.86373e-13,1.81246e+28
4.88242e-13,1.79517e+28
4.90118e-13,1.77804e+28
4.92001e-13,1.76107e+28
4.93892e-13,1.74427e+28
4.95789e-13,1.72763e+28
4.97694e-13,1.71114e+28
4.99607e-13,1.69482e+28
5.01526e-13,1.67865e+28
5.03453e-13,1.66263e+28
5.05388e-13,1.64676e+28
5.0733e-13,1.63105e+28
5.09279e-13,1.61549e+28
5.11236e-13,1.60007e+28
5.132e-13,1.58481e+28
5.15172e-13,1.56969e+28
5.17151e-13,1.55471e+28
5.19138e-13,1.53987e+28
5.21133e-13,1.52518e+28
5.23136e-13,1.51063e+28
5.25146e-13,1.49621e+28
5.27163e-13,1.48194e+28
5.29189e-13,1.4678e+28
5.31222e-13,1.45379e+28
5.33263e-13,1.43992e+28
5.35312e-13,1.42618e+28
5.37369e-13,1.41257e+28
5.39434e-13,1.3991e+28
5.41507e-13,1.38575e+28
5.43587e-13,1.37252e+28
5.45676e-13,1.35943e+28
5.47772e-13,1.34646e+28
5.49877e-13,1.33361e+28
5.5199e-13,1.32089e+28
5.54111e-13,1.30828e+28
5.5624e-13,1.2958e+28
5.58377e-13,1.28344e+28
5.60523e-13,1.27119e+28
5.62676e-13,1.25906e+28
5.64838e-13,1.24705e+28
5.67009e-13,1.23515e+28
5.69187e-13,1.22336e+28
5.71374e-13,1.21169e+28
5.7357e-13,1.20013e+28
5.75774e-13,1.18868e+28
5.77986e-13,1.17734e+28
5.80207e-13,1.1661e+28
5.82436e-13,1.15498e+28
5.84674e-13,1.14396e+28
5.8692e-13,1.13304e+28
5.89175e-13,1.12223e+28
5.91439e-13,1.11152e+28
5.93712e-13,1.10092e+28
5.95993e-13,1.09041e+28
5.98283e-13,1.08001e+28
6.00582e-13,1.0697e+28
6.02889e-13,1.0595e+28
6.05206e-13,1.04939e+28
6.07531e-13,1.03937e+28
6.09866e-13,1.02946e+28
6.12209e-13,1.01963e+28
6.14561e-13,1.0099e+28
6.16923e-13,1.00027e+28
6.19293e-13,9.90724e+27
6.21672e-13,9.81271e+27
6.24061e-13,9.71908e+27
6.26459e-13,9.62635e+27
6.28866e-13,9.5345e+27
6.31282e-13,9.44353e+27
6.33708e-13,9.35342e+27
6.36143e-13,9.26417e+27
6.38587e-13,9.17578e+27
6.41041e-13,9.08823e+27
6.43504e-13,9.00151e+27
6.45976e-13,8.91562e+27
